Data ID No,Chemical Name,Chemical Class,Carbon Number,CAS,SMILES,Inoculum Description,DT50,logDT50,Inoculum,FW,SW,StudyT,foc,logfoc,WSRatio,logWSratio,Tdose,logTDose,Dose,logDose,Dispersant,Disp_Log,chain:alkaneBranch_isopropyl_C3,chain:alkaneBranch_neopentyl_C5,chain:alkaneBranch_isohexyl_pentyl_3-methyl,chain:alkaneBranch_isooctyl_heptyl_3-methyl,chain:alkaneBranch_isononyl_heptyl_2_5-methyl,chain:alkaneCyclic_hexyl_C6,chain:alkaneLinear_propyl_C3,chain:alkaneLinear_butyl_C4,chain:alkaneLinear_hexyl_C6,chain:alkaneLinear_octyl_C8,chain:alkaneLinear_decyl_C10,chain:alkaneLinear_dodedyl_C12,chain:alkaneLinear_tetradecyl_C14,chain:alkaneLinear_hexadecyl_C16,chain:alkaneLinear_stearyl_C18,chain:alkeneLinear_mono-ene_ethylene_generic,chain:aromaticAlkane_Ar-C_meta,chain:aromaticAlkane_Ar-C_ortho,chain:aromaticAlkane_Ph-C1_acyclic_generic,chain:aromaticAlkane_Ph-1_4-C1_acyclic,chain:aromaticAlkane_Ph-C2,ring:aromatic_benzene,ring:aromatic_biphenyl,ring:aromatic_phenyl,ring:fused_[5_6]_indane,ring:fused_[6_6]_naphthalene,ring:fused_[6_6]_tetralin,ring:fused_PAH_acenaphthylene,ring:fused_PAH_anthracene,ring:fused_PAH_benz(a)anthracene,ring:fused_PAH_benzophenanthrene,ring:fused_PAH_fluorene,ring:fused_PAH_phenanthrene,ring:fused_PAH_pyrene,ring:hetero_[5]_N_pyrrole,ring:hetero_[5]_N_pyrrole_generic,ring:hetero_[5]_N_S_thiazole,ring:hetero_[5]_O_furan,ring:hetero_[5]_O_oxolane,ring:hetero_[5]_S_thiophene,ring:hetero_[5]_Z_1_3-Z,ring:hetero_[5]_Z_1-Z,ring:hetero_[5_6]_N_indole,ring:hetero_[5_6]_N_S_benzothiazole_(1_3-),ring:hetero_[5_6]_O_benzofuran,ring:hetero_[5_6]_Z_generic,ring:hetero_[6]_N_pyrazine,ring:hetero_[6]_N_pyridine,ring:hetero_[6]_N_pyridine_generic,ring:hetero_[6]_Z_1-,ring:hetero_[6]_Z_1_4-,ring:hetero_[6]_Z_generic,ring:hetero_[6_5_6]_N_carbazole,ring:hetero_[6_5_6]_O_benzofuran_dibenzo,ring:hetero_[6_6]_N_isoquinoline,ring:hetero_[6_6]_N_quinoline,ring:hetero_[6_6]_N_quinoxaline,ring:hetero_[6_6]_Z_generic,ring:hetero_[6_6_6]_N_acridine,HL_bhcw,logHL_biohcw,HL_VEGA,logHL_VEGA
1,Benzene,MAH,6,71-43-2,c1ccccc1,Sediment,4.378431373,0.641318547,Sediment,NA,NA,10,0.02,-1.698970004,200,2.301029996,0.8,-0.096910013,0.1,-1,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.546,0.6577,332,2.52
2,Benzene,MAH,6,71-43-2,c1ccccc1,Sediment,0.598962835,-0.222600124,Sediment,NA,NA,10,0.03,-1.522878745,200,2.301029996,0.8,-0.096910013,0.1,-1,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.546,0.6577,332,2.52
3,Biphenyl,DAH,12,92-52-4,c1ccc(cc1)c2ccccc2,Sediment,28.12258065,1.449055171,Sediment,NA,NA,10,0.02,-1.698970004,200,2.301029996,0.8,-0.096910013,0.1,-1,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1.4914,282,2.45
4,Biphenyl,DAH,12,92-52-4,c1ccc(cc1)c2ccccc2,Sediment,12.62883436,1.101363267,Sediment,NA,NA,10,0.03,-1.522878745,200,2.301029996,0.8,-0.096910013,0.1,-1,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1.4914,282,2.45
5,Naphthalene,DAH,10,91-20-3,c1ccc2ccccc2c1,Sediment,11.60990991,1.06482885,Sediment,NA,NA,10,0.02,-1.698970004,200,2.301029996,0.8,-0.096910013,0.1,-1,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0.7451,229,2.36
6,Naphthalene,DAH,10,91-20-3,c1ccc2ccccc2c1,Sediment,2.84298544,0.453774636,Sediment,NA,NA,10,0.03,-1.522878745,200,2.301029996,0.8,-0.096910013,0.1,-1,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0.7451,229,2.36
7,o-xylene,MAH,8,95-47-6,Cc1ccccc1C,Sediment,8.870588235,0.94795242,Sediment,NA,NA,10,0.02,-1.698970004,200,2.301029996,0.8,-0.096910013,0.1,-1,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.441,0.6475,184,2.26
8,o-xylene,MAH,8,95-47-6,Cc1ccccc1C,Sediment,2.055730994,0.312966284,Sediment,NA,NA,10,0.03,-1.522878745,200,2.301029996,0.8,-0.096910013,0.1,-1,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.441,0.6475,184,2.26
9,Toluene,MAH,7,108-88-3,Cc1ccccc1,Sediment,3.820664207,0.58213887,Sediment,NA,NA,10,0.02,-1.698970004,200,2.301029996,0.8,-0.096910013,0.1,-1,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.494,0.6526,332,2.52
10,Toluene,MAH,7,108-88-3,Cc1ccccc1,Sediment,0.410545024,-0.386639208,Sediment,NA,NA,10,0.03,-1.522878745,200,2.301029996,0.8,-0.096910013,0.1,-1,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.494,0.6526,332,2.52
