Data ID No,Chemical Name,Chemical Class,Carbon Number,CAS,SMILES,Inoculum description,DT50,log(DT50),Innoculum,StudyT,logfoc,logWSratio,log_Tdose,log_Dose,Disp,bond:C#N_nitrile_generic,bond:C#N_nitrile,bond:CN_amine_aliphatic_generic,bond:CS_sulfide_dialkyl,bond:CS_sulfide,chain:alkaneBranch_isopropyl_C3,chain:alkaneBranch_isohexyl_pentyl_3-methyl,chain:alkaneBranch_isooctyl_heptyl_3-methyl,chain:alkaneBranch_isononyl_heptyl_2_5-methyl,chain:alkaneCyclic_hexyl_C6,chain:alkaneLinear_ethyl_C2_(connect_noZ_CN=4),chain:alkaneLinear_propyl_C3,chain:alkaneLinear_butyl_C4,chain:alkaneLinear_hexyl_C6,chain:alkaneLinear_octyl_C8,chain:alkaneLinear_decyl_C10,chain:alkaneLinear_dodedyl_C12,chain:alkaneLinear_tetradecyl_C14,chain:alkaneLinear_hexadecyl_C16,chain:alkaneLinear_stearyl_C18,chain:alkeneCyclic_diene_cyclopentadiene,chain:alkeneCyclic_ethene_C_(connect_noZ),chain:alkeneLinear_mono-ene_ehtylene_terminal,chain:alkeneLinear_mono-ene_ethylene_generic,chain:aromaticAlkane_Ar-C_meta,chain:aromaticAlkane_Ar-C_ortho,chain:aromaticAlkane_Ph-C1_acyclic_generic,chain:aromaticAlkane_Ph-1_4-C1_acyclic,chain:aromaticAlkane_Ph-C2,chain:aromaticAlkane_Ph-C1_cyclic,chain:aromaticAlkene_Ph-C2_cyclic,ring:aromatic_benzene,ring:aromatic_biphenyl,ring:aromatic_phenyl,ring:fused_[5_6]_indane,ring:fused_[6_6]_naphthalene,ring:fused_PAH_acenaphthylene,ring:fused_PAH_anthracene,ring:fused_PAH_benz(a)anthracene,ring:fused_PAH_benzophenanthrene,ring:fused_PAH_fluorene,ring:fused_PAH_phenanthrene,ring:fused_PAH_pyrene,ring:hetero_[5]_N_pyrrole,ring:hetero_[5]_N_pyrrole_generic,ring:hetero_[5]_N_S_thiazole,ring:hetero_[5]_O_furan,ring:hetero_[5]_O_oxolane,ring:hetero_[5]_S_thiophene,ring:hetero_[5]_Z_1_3-Z,ring:hetero_[5]_Z_1-Z,ring:hetero_[5_6]_N_indole,ring:hetero_[5_6]_N_S_benzothiazole_(1_3-),ring:hetero_[5_6]_O_benzofuran,ring:hetero_[5_6]_Z_generic,ring:hetero_[6]_N_pyrazine,ring:hetero_[6]_N_pyridine,ring:hetero_[6]_N_pyridine_generic,ring:hetero_[6]_Z_1-,ring:hetero_[6]_Z_1_4-,ring:hetero_[6]_Z_generic,ring:hetero_[6_5_6]_N_carbazole,ring:hetero_[6_5_6]_O_benzofuran_dibenzo,ring:hetero_[6_6]_N_isoquinoline,ring:hetero_[6_6]_N_quinoline,ring:hetero_[6_6]_N_quinoxaline,ring:hetero_[6_6]_Z_generic,ring:hetero_[6_6_6]_N_acridine,Compartment assignment,Matrix location,Approximate location coordinates,Matrix collection Temperature (oC),abs(diff(T)),Matrix storage,Study system,Study matrix volume (L),Matrix Organic Carbon Content (%),pH,Study moisture content (%),Study Sediment:Water ratio,Study Agitation,Study Agitation description,Study Aeration,Study Aeration description,Study duration (d),Study controls,Abiotic control type,Test substance type,Test substance description,Test substance physical form,Test substance dosing stratgy,Total hydrocarbon dose (ppm),Initial test substance concentration (ppm),Final test substance concentration (ppm),Kinetics used,R2 (if applicable),Lag (d),Rate (d-1),Halflife (d),Study reference,Study comments,Other comments,Soil classification,Non standard inoculum,pH,Organic carbon,Sampling and storage,"Nutrient supplemenation (N,P)",Non-routine experimental setup,Soil moisture,Soil aeration,Water:Sediment ratio,Sediment agitation and aeration,Light regime,Test substance concentration,"Mixtures, crudes or petroleum products",Temperature,Inoculum,Test system,Flags,Total relevance (Inoculum + Test system ave),HL_bhcw,logHL_bhcw
1,"1,13 tetradecadiene",Ole,14,21964-49-8,C=CCCCCCCCCCCC=C,Lake water and sediment,150,2.176091259,Freshwater,0,,2.301029996,3.606381365,2.204119983,No,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sediment,"Holiday lake, Ohio, USA ",41°05?32?N 82°43?45?W,0,0,Sediment and water samples were transported from field to laboratory while packed in ice,"Closed microcosm in 250mL screw cap Erlenmeyer flask. Daily photoperiod, using light (fluorescent ""grolites"") intensities that approximated field conditions.",0.052,,,,200,No,No description provided ,Yes,Assume microcosm not fully sealed and passive aeration permitted,21,Abiotic control,10% formalin,Synthetic mixture + weathered kerosene,Kerosene is weathered JP-5 jet fuel,Liquid,Added directly to microcosm,4040,160,148.8,Zero order rate constant,,,0.0033,150.0,Cooney 1985,"Lake recieves chronic hydrocarbon pollution, but non-oiled arm of lake sampled. 0.41mM KNO3 and 0.15mM KHPO4 added",Degradation kinetics determined from linear decrease between 2 time points,N/A,N ,L,L,H,H,N ,N/A,N/A,L,L,L,M,M,L,2.0,1.3,0,1.7,13,1.1139
2,"1,13 tetradecadiene",Ole,14,21964-49-8,C=CCCCCCCCCCCC=C,Lake water and sediment,31.81818182,1.502675359,Freshwater,0,,2.301029996,3.606381365,2.204119983,No,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sediment,"Cowan lake, Ohio, USA","39.3864° N, 83.9030° W",0,0,Sediment and water samples were transported from field to laboratory while packed in ice,"Closed microcosm in 250mL screw cap Erlenmeyer flask. Daily photoperiod, using light (fluorescent ""grolites"") intensities that approximated field conditions.",0.052,,,,200,No,No description provided ,Yes,Assume microcosm not fully sealed and passive aeration permitted,21,Abiotic control,10% formalin,Synthetic mixture + weathered kerosene,Kerosene is weathered JP-5 jet fuel,Liquid,Added directly to microcosm,4040,160,107.2,Zero order rate constant,,,0.0157,31.8,Cooney 1985,0.41mM KNO3 and 0.15mM KHPO4 added,Degradation kinetics determined from linear decrease between 2 time points,N/A,N ,L,L,H,M,N ,N/A,N/A,L,L,L,M,M,L,1.8,1.3,0,1.5,13,1.1139
3,"1,13 tetradecadiene",Ole,14,21964-49-8,C=CCCCCCCCCCCC=C,Lake water and sediment,24.41860465,1.387720843,Freshwater,10,,2.301029996,3.606381365,2.204119983,No,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sediment,"Cowan lake, Ohio, USA","39.3864° N, 83.9030° W",10,0,Sediment and water samples were transported from field to laboratory while packed in ice,"Closed microcosm in 250mL screw cap Erlenmeyer flask. Daily photoperiod, using light (fluorescent ""grolites"") intensities that approximated field conditions.",0.052,,,,200,No,No description provided ,Yes,Assume microcosm not fully sealed and passive aeration permitted,21,Abiotic control,10% formalin,Synthetic mixture + weathered kerosene,Kerosene is weathered JP-5 jet fuel,Liquid,Added directly to microcosm,4040,160,91.2,Zero order rate constant,,,0.0205,24.4,Cooney 1985,0.41mM KNO3 and 0.15mM KHPO4 added,Degradation kinetics determined from linear decrease between 2 time points,N/A,N ,L,L,H,M,N ,N/A,N/A,L,L,L,M,M,H,1.8,1.7,0,1.7,13,1.1139
4,"1,13 tetradecadiene",Ole,14,21964-49-8,C=CCCCCCCCCCCC=C,Lake water and sediment,4.494382022,0.652669985,Freshwater,27,,2.301029996,3.606381365,2.204119983,No,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sediment,"Cowan lake, Ohio, USA","39.3864° N, 83.9030° W",0,27,Sediment and water samples were transported from field to laboratory while packed in ice,"Closed microcosm in 250mL screw cap Erlenmeyer flask. Daily photoperiod, using light (fluorescent ""grolites"") intensities that approximated field conditions.",0.052,,,,200,No,No description provided ,Yes,Assume microcosm not fully sealed and passive aeration permitted,8,Abiotic control,10% formalin,Synthetic mixture + weathered kerosene,Kerosene is weathered JP-5 jet fuel,Liquid,Added directly to microcosm,4040,160,17.6,Zero order rate constant,,,0.1113,4.5,Cooney 1985,0.41mM KNO3 and 0.15mM KHPO4 added,Degradation kinetics determined from linear decrease between 2 time points,N/A,N ,L,L,H,M,N ,N/A,N/A,L,L,L,M,M,H,1.8,1.7,0,1.7,13,1.1139
5,"1,13 tetradecadiene",Ole,14,21964-49-8,C=CCCCCCCCCCCC=C,Lake water and sediment,4,0.602059991,Freshwater,27,,2.301029996,3.606381365,2.204119983,No,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sediment,"Cowan lake, Ohio, USA","39.3864° N, 83.9030° W",10,17,Sediment and water samples were transported from field to laboratory while packed in ice,"Closed microcosm in 250mL screw cap Erlenmeyer flask. Daily photoperiod, using light (fluorescent ""grolites"") intensities that approximated field conditions.",0.052,,,,200,No,No description provided ,Yes,Assume microcosm not fully sealed and passive aeration permitted,8,Abiotic control,10% formalin,Synthetic mixture + weathered kerosene,Kerosene is weathered JP-5 jet fuel,Liquid,Added directly to microcosm,4040,160,0,Zero order rate constant,,,0.1250,4.0,Cooney 1985,0.41mM KNO3 and 0.15mM KHPO4 added,Degradation kinetics determined from linear decrease between 2 time points,N/A,N ,L,L,H,M,N ,N/A,N/A,L,L,L,M,M,H,1.8,1.7,0,1.7,13,1.1139
6,"1,13 tetradecadiene",Ole,14,21964-49-8,C=CCCCCCCCCCCC=C,Lake water and sediment,4.347826087,0.638272164,Freshwater,22,,2.301029996,3.606381365,2.204119983,No,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sediment,"Cowan lake, Ohio, USA","39.3864° N, 83.9030° W",22,0,Sediment and water samples were transported from field to laboratory while packed in ice,"Closed microcosm in 250mL screw cap Erlenmeyer flask. Daily photoperiod, using light (fluorescent ""grolites"") intensities that approximated field conditions.",0.052,,,,200,No,No description provided ,Yes,Assume microcosm not fully sealed and passive aeration permitted,8,Abiotic control,10% formalin,Synthetic mixture + weathered kerosene,Kerosene is weathered JP-5 jet fuel,Liquid,Added directly to microcosm,4040,160,12.8,Zero order rate constant,,,0.1150,4.3,Cooney 1985,0.41mM KNO3 and 0.15mM KHPO4 added,Degradation kinetics determined from linear decrease between 2 time points,N/A,N ,L,L,H,M,N ,N/A,N/A,L,L,L,M,M,H,1.8,1.7,0,1.7,13,1.1139
7,"1,13 tetradecadiene",Ole,14,21964-49-8,C=CCCCCCCCCCCC=C,Lake water and sediment,4,0.602059991,Freshwater,27,,2.301029996,3.606381365,2.204119983,No,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sediment,"Cowan lake, Ohio, USA","39.3864° N, 83.9030° W",22,5,Sediment and water samples were transported from field to laboratory while packed in ice,"Closed microcosm in 250mL screw cap Erlenmeyer flask. Daily photoperiod, using light (fluorescent ""grolites"") intensities that approximated field conditions.",0.052,,,,200,No,No description provided ,Yes,Assume microcosm not fully sealed and passive aeration permitted,8,Abiotic control,10% formalin,Synthetic mixture + weathered kerosene,Kerosene is weathered JP-5 jet fuel,Liquid,Added directly to microcosm,4040,160,0,Zero order rate constant,,,0.1250,4.0,Cooney 1985,0.41mM KNO3 and 0.15mM KHPO4 added,Degradation kinetics determined from linear decrease between 2 time points,N/A,N ,L,L,H,M,N ,N/A,N/A,L,L,L,M,M,H,1.8,1.7,0,1.7,13,1.1139
8,"1,13 tetradecadiene",Ole,14,21964-49-8,C=CCCCCCCCCCCC=C,Lake water and sediment,4.347826087,0.638272164,Freshwater,27,,2.301029996,3.606381365,2.204119983,No,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sediment,"Holiday lake, Ohio, USA ",41°05?32?N 82°43?45?W,0,27,Sediment and water samples were transported from field to laboratory while packed in ice,"Closed microcosm in 250mL screw cap Erlenmeyer flask. Daily photoperiod, using light (fluorescent ""grolites"") intensities that approximated field conditions.",0.052,,,,200,No,No description provided ,Yes,Assume microcosm not fully sealed and passive aeration permitted,8,Abiotic control,10% formalin,Synthetic mixture + weathered kerosene,Kerosene is weathered JP-5 jet fuel,Liquid,Added directly to microcosm,4040,160,12.8,Zero order rate constant,,,0.1150,4.3,Cooney 1985,"Lake recieves chronic hydrocarbon pollution, but non-oiled arm of lake sampled. 0.41mM KNO3 and 0.15mM KHPO4 added",Degradation kinetics determined from linear decrease between 2 time points,N/A,N ,L,L,H,H,N ,N/A,N/A,L,L,L,M,M,H,2.0,1.7,0,1.8,13,1.1139
9,"1,13 tetradecadiene",Ole,14,21964-49-8,C=CCCCCCCCCCCC=C,Lake water and sediment,11.41304348,1.057401472,Freshwater,10,,2.301029996,3.606381365,2.204119983,No,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sediment,"Holiday lake, Ohio, USA ",41°05?32?N 82°43?45?W,10,0,Sediment and water samples were transported from field to laboratory while packed in ice,"Closed microcosm in 250mL screw cap Erlenmeyer flask. Daily photoperiod, using light (fluorescent ""grolites"") intensities that approximated field conditions.",0.052,,,,200,No,No description provided ,Yes,Assume microcosm not fully sealed and passive aeration permitted,21,Abiotic control,10% formalin,Synthetic mixture + weathered kerosene,Kerosene is weathered JP-5 jet fuel,Liquid,Added directly to microcosm,4040,160,12.8,Zero order rate constant,,,0.0438,11.4,Cooney 1985,"Lake recieves chronic hydrocarbon pollution, but non-oiled arm of lake sampled. 0.41mM KNO3 and 0.15mM KHPO4 added",Degradation kinetics determined from linear decrease between 2 time points,N/A,N ,L,L,H,H,N ,N/A,N/A,L,L,L,M,M,H,2.0,1.7,0,1.8,13,1.1139
10,"1,13 tetradecadiene",Ole,14,21964-49-8,C=CCCCCCCCCCCC=C,Lake water and sediment,4,0.602059991,Freshwater,27,,2.301029996,3.606381365,2.204119983,No,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sediment,"Holiday lake, Ohio, USA ",41°05?32?N 82°43?45?W,10,17,Sediment and water samples were transported from field to laboratory while packed in ice,"Closed microcosm in 250mL screw cap Erlenmeyer flask. Daily photoperiod, using light (fluorescent ""grolites"") intensities that approximated field conditions.",0.052,,,,200,No,No description provided ,Yes,Assume microcosm not fully sealed and passive aeration permitted,8,Abiotic control,10% formalin,Synthetic mixture + weathered kerosene,Kerosene is weathered JP-5 jet fuel,Liquid,Added directly to microcosm,4040,160,0,Zero order rate constant,,,0.1250,4.0,Cooney 1985,"Lake recieves chronic hydrocarbon pollution, but non-oiled arm of lake sampled. 0.41mM KNO3 and 0.15mM KHPO4 added",Degradation kinetics determined from linear decrease between 2 time points,N/A,N ,L,L,H,H,N ,N/A,N/A,L,L,L,M,M,H,2.0,1.7,0,1.8,13,1.1139
