Data ID No,Chemical Name,Chemical Class,Carbon Number,CAS,SMILES,DT50,logDT50,logfoc,StudyT,Dispersant,logTdose,logDose,chain:alkaneBranch_isopropyl_C3,chain:alkaneBranch_t-butyl_C4,chain:alkaneBranch_neopentyl_C5,chain:alkaneBranch_isohexyl_pentyl_3-methyl,chain:alkaneBranch_isooctyl_heptyl_3-methyl,chain:alkaneBranch_isononyl_heptyl_2_5-methyl,chain:alkaneBranch_isononyl_pentyl_1_1_1_3-metyl,chain:alkaneCyclic_pentyl_C5,chain:alkaneCyclic_hexyl_C6,chain:alkaneLinear_propyl_C3,chain:alkaneLinear_butyl_C4,chain:alkaneLinear_hexyl_C6,chain:alkaneLinear_octyl_C8,chain:alkaneLinear_decyl_C10,chain:alkaneLinear_dodedyl_C12,chain:alkaneLinear_tetradecyl_C14,chain:alkaneLinear_hexadecyl_C16,chain:alkaneLinear_stearyl_C18,chain:alkeneCyclic_diene_1_3-cyclohexadiene_C6,chain:alkeneCyclic_diene_cyclohexene,chain:alkeneCyclic_diene_cyclopentadiene,chain:aromaticAlkane_Ar-C_meta,chain:aromaticAlkane_Ar-C_ortho,chain:aromaticAlkane_Ph-C1_acyclic_generic,chain:aromaticAlkane_Ph-1_4-C1_acyclic,chain:aromaticAlkane_Ph-C2,chain:aromaticAlkane_Ph-C1_cyclic,chain:aromaticAlkene_Ph-C2_cyclic,ring:aromatic_benzene,ring:aromatic_phenyl,ring:aromatic_biphenyl,ring:fused_[6_6]_naphthalene,ring:fused_[6_6]_tetralin,ring:fused_PAH_acenaphthylene,ring:fused_PAH_anthracene,ring:fused_PAH_benz(a)anthracene,ring:fused_PAH_benzophenanthrene,ring:fused_PAH_fluorene,ring:fused_PAH_phenanthrene,ring:fused_PAH_pyrene,ring:hetero_[5]_O_furan,ring:hetero_[5]_O_oxolane,ring:hetero_[5]_S_thiophene,ring:hetero_[5]_Z_1-Z,ring:hetero_[5_6]_O_benzofuran,ring:hetero_[5_6]_Z_generic,ring:hetero_[6_5_6]_O_benzofuran_dibenzo,HL_bhcw,logHL_biohcw,logHL_VEGA,HL_VEGA,foc_category,foc_Score
1,Pyrene,PAH,16,129-00-0,c1cc2ccc3cccc4ccc(c1)c2c34,138.6,2.14176323,0.204119983,20,No,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,283.4,2.4524,2.85,708,Moderate,3
2,Pyrene,PAH,16,129-00-0,c1cc2ccc3cccc4ccc(c1)c2c34,60.2346,1.779846031,0.342422681,20,No,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,283.4,2.4524,2.85,708,Moderate,3
3,Pyrene,PAH,16,129-00-0,c1cc2ccc3cccc4ccc(c1)c2c34,23.89655172,1.378335237,0.959041392,20,No,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,283.4,2.4524,2.85,708,Moderate,3
4,Pyrene,PAH,16,129-00-0,c1cc2ccc3cccc4ccc(c1)c2c34,22.35483871,1.349371541,1,20,No,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,283.4,2.4524,2.85,708,Moderate,3
5,Pyrene,PAH,16,129-00-0,c1cc2ccc3cccc4ccc(c1)c2c34,60.76456319,1.78365038,0.342422681,20,No,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,283.4,2.4524,2.85,708,Moderate,3
6,Pyrene,PAH,16,129-00-0,c1cc2ccc3cccc4ccc(c1)c2c34,15.71428571,1.196294645,0.959041392,20,No,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,283.4,2.4524,2.85,708,Moderate,3
7,Naphthalene,DAH,10,91-20-3,c1ccc2ccccc2c1,16.9,1.227886705,-0.107905397,28,No,4.602059991,4.602059991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0.7451,1.85,71,Low,2
8,Naphthalene,DAH,10,91-20-3,c1ccc2ccccc2c1,34.7,1.540329475,-0.107905397,28,No,4.602059991,4.602059991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0.7451,1.85,71,Low,2
9,Anthracene,PAH,14,120-12-7,c1ccc2cc3ccccc3cc2c1,37.05882353,1.568891628,0.255272505,22,No,3,2.546593019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,123,2.0899,2.36,229,Moderate,3
10,Anthracene,PAH,14,120-12-7,c1ccc2cc3ccccc3cc2c1,36.09375,1.557432006,0.903089987,22,No,3,2.525309298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,123,2.0899,2.36,229,Moderate,3
