Data ID No,Chemical Name,Chemical Class,Carbon Number,CAS,SMILES,DT50,logDT50,logfoc,StudyT,Dispersant,logTdose,logDose,chain:alkaneBranch_isopropyl_C3,chain:alkaneBranch_t-butyl_C4,chain:alkaneBranch_neopentyl_C5,chain:alkaneBranch_isohexyl_pentyl_3-methyl,chain:alkaneBranch_isooctyl_heptyl_3-methyl,chain:alkaneBranch_isononyl_heptyl_2_5-methyl,chain:alkaneCyclic_pentyl_C5,chain:alkaneCyclic_hexyl_C6,chain:alkaneLinear_ethyl_C2_(connect_noZ_CN=4),chain:alkaneLinear_propyl_C3,chain:alkaneLinear_butyl_C4,chain:alkaneLinear_hexyl_C6,chain:alkaneLinear_octyl_C8,chain:alkaneLinear_decyl_C10,chain:alkaneLinear_dodedyl_C12,chain:alkaneLinear_tetradecyl_C14,chain:alkaneLinear_hexadecyl_C16,chain:alkaneLinear_stearyl_C18,chain:alkeneCyclic_diene_cyclohexene,chain:alkeneCyclic_diene_cyclopentadiene,chain:alkeneCyclic_ethene_C_(connect_noZ),chain:aromaticAlkane_Ar-C_meta,chain:aromaticAlkane_Ar-C_ortho,chain:aromaticAlkane_Ph-C1_acyclic_connect_H_gt_1,chain:aromaticAlkane_Ph-C1_acyclic_connect_noDblBd,chain:aromaticAlkane_Ph-C1_acyclic_generic,chain:aromaticAlkane_Ph-1_4-C1_acyclic,chain:aromaticAlkane_Ph-C2,chain:aromaticAlkane_Ph-C1_cyclic,chain:aromaticAlkene_Ph-C2_cyclic,ring:aromatic_benzene,ring:aromatic_biphenyl,ring:aromatic_phenyl,ring:fused_[6_6]_naphthalene,ring:fused_[6_6]_tetralin,ring:fused_PAH_acenaphthylene,ring:fused_PAH_anthracene,ring:fused_PAH_benz(a)anthracene,ring:fused_PAH_benzophenanthrene,ring:fused_PAH_fluorene,ring:fused_PAH_phenanthrene,ring:fused_PAH_pyrene,ring:hetero_[5]_O_furan,ring:hetero_[5]_O_oxolane,ring:hetero_[5]_S_thiophene,ring:hetero_[5]_Z_1-Z,ring:hetero_[5_6]_O_benzofuran,ring:hetero_[5_6]_Z_generic,ring:hetero_[6_5_6]_O_benzofuran_dibenzo,Inoculum description,Inoculum assignment,Compartment assignment,Matrix location,Approximate location coordinates,Matrix collection Temperature (oC),Matrix storage,Study system,Study matrix volume (L),Matrix Organic Carbon Content (%),pH,Study moisture content (%),Study Sediment:Water ratio,Study Agitation,Study Agitation description,Study Aeration,Study Aeration description,Study duration (d),Study controls,Abiotic control type,Test substance type,Test substance description,Test substance physical form,Test substance dosing stratgy,Total hydrocarbon dose (ppm),Initial test substance concentration (ppm),Final test substance concentration (ppm),Kinetics used,R2 (if applicable),Lag (d),Rate (d-1),Halflife (d),Study reference,Study comments,Other comments,Soil classification,Non standard inoculum,pH,Organic carbon,Sampling and storage,"Nutrient supplemenation (N,P)",Non-routine experimental setup,Soil moisture,Soil aeration,Water:Sediment ratio,Sediment agitation and aeration,Light regime,Test substance concentration,"Mixtures, crudes or petroleum products",Temperature,Inoculum,Test system,Flags,Total relevance (Inoculum + Test system ave),HL_bhcw,logHL_biohcw,SMILES2
1,"1,2,4-Trimethylbenzene",MAr,9,95-63-6,Cc1ccc(C)c(C)c1,0.139156627,-0.856496108,-1.698970004,23,No,2.004235366,-0.318758763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alluvial sand,Lake soil,Soil,"Lake Geneva, Switzerland",,,,"Open horizontal column experiment (120cm long x 8.1cm diameter). Due to the horizontal position of the column, no hydraulic gradient causing water advection along the
column axis was present. Substance transport across the column due to vapor transport",6.1,0.02,,11.8,,No,,Yes,Column purged with water satuated airflow at a rate of 5mL/min,51,Conservative tracers (CFC-113 and CFC-11) used,,Synthetic mixture,Gasoline components,Liquid,Mixed directly (gaseous volume injected),100.98,0.48,,First order rate constant,,,4.98,0.139156627,Hohener 2003,,,L,Y,L,H,H,H,Y,M,H,N/A,N/A,L,H,M,H,2.2,2.3,2,2.3,4.39,0.6425,Cc1ccc(C)c(C)c1
2,"1,2,4-Trimethylbenzene",MAr,9,95-63-6,Cc1ccc(C)c(C)c1,0.187297297,-0.727468489,-2,23,No,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sandy Soil,Urban soil,Soil,"Flyvestation Værløse, Denmark","55.7653° N, 12.3219° E",,,"Open horizontal column experiment (120cm long x 8.1cm diameter). Due to the horizontal position of the column, no hydraulic gradient causing water advection along the
column axis was present. Substance transport across the column due to vapor transport",6.1,0.01,,29,,No,,Yes,Column purged with water satuated airflow at a rate of 5mL/min,30,Conservative tracers (CFC-113 and CFC-11) used,,Synthetic mixture,Gasoline components,Liquid,Mixed directly (gaseous volume injected),,,,First order rate constant,,,3.7,0.187297297,Hohener 2006,,,L,Y,L,H,H,H,Y,M,H,N/A,N/A,L,H,M,H,2.2,2.3,2,2.3,4.39,0.6425,Cc1ccc(C)c(C)c1
3,"1,2,4-Trimethylbenzene",MAr,9,95-63-6,Cc1ccc(C)c(C)c1,0.213230769,-0.671150126,-2,25,No,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sandy Soil,Urban soil,Soil,"Flyvestation Værløse, Denmark","55.7653° N, 12.3219° E",,,Closed microcosm in 63mL glass jar sealed with teflon coated mininert valves. Vessel completely packed with soil ,0.063,0.01,,29,,No,,No,Adequate oxygen in microcosm headspace,20,Abiotic control,Sodium Azide,Synthetic mixture,Gasoline components,Liquid,Mixed directly (gaseous volume injected),,,,First order rate constant,,,3.25,0.213230769,Hohener 2006,,,L,Y,L,H,H,H,N ,M,H,N/A,N/A,L,H,M,H,2.2,2.3,1,2.3,4.39,0.6425,Cc1ccc(C)c(C)c1
4,"1,2,4-Trimethylbenzene",MAr,9,95-63-6,Cc1ccc(C)c(C)c1,0.267361111,-0.572901763,0.079181246,20,No,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Construction site soil,Urban soil,Soil,"Newcastle, UK","54°58'46.9""N 1°35'54.6""W",,,Closed microcosm in 63mL serum bottles and sealed ith mininert valves,0.02,1.2,,12,,No,,No,Adequate oxygen in microcosm headspace,10,Abiotic control,"Autoclave, 120oC, 30min",Synthetic mixture,,Liquid,Injected into microcosm,,,,First order rate constant,,,2.592,0.267361111,Bushnaf 2011,,,L,N ,H,H,H,H,N ,M,H,N/A,N/A,L,H,M,H,2.6,2.3,0,2.5,4.39,0.6425,Cc1ccc(C)c(C)c1
5,"1,2,4-Trimethylbenzene",MAr,9,95-63-6,Cc1ccc(C)c(C)c1,0.022916667,-1.639848552,0.462397998,20,No,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Construction site soil,Urban soil,Soil,"Newcastle, UK","54°58'46.9""N 1°35'54.6""W",,,Closed microcosm in 63mL serum bottles and sealed ith mininert valves,0.02,2.9,,12,,No,,No,Adequate oxygen in microcosm headspace,10,Abiotic control,"Autoclave, 120oC, 30min",Synthetic mixture,,Liquid,Injected into microcosm,,,,First order rate constant,,,30.24,0.022916667,Bushnaf 2011,Ammended with biochar,,L,N ,H,H,H,H,N ,M,H,N/A,N/A,L,H,M,H,2.6,2.3,0,2.5,4.39,0.6425,Cc1ccc(C)c(C)c1
6,1-Methylnaphthalene,DAH,11,90-12-0,Cc1cccc2ccccc12,2.2,0.342422681,0.041392685,25,No,2.025305865,2.025305865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sandy Loam McLaurin soil,Agricultural soil,Soil,"Paleudult; Mississippi, USA",,,Air-dried and sieved to pass a 2-mm screen.,Closed microcosm in 500mL glass flask fitted with aeration cap and volatiles trap,0.15,1.1,,15,,No,,Yes,Aerated continously 200mL/min,105,Abiotic control,2% HgCl2,Single constituent,Single constituent,Solid,Solvent dissolved (methyl chloride) and mixed with soil and allowed to evaporate for 24 hours,106,106,0,First order rate constant,0.81,,0.315,2.2,Parks 1990,,Final hydrocarbon concentration are estimates based on degradation rate and incubation time,H,N ,L,H,H,H,N ,M,H,N/A,N/A,H,M,M,H,2.6,2.5,0,2.6,8.889,0.9489,Cc1cccc2ccccc12
7,1-Methylnaphthalene,DAH,11,90-12-0,Cc1cccc2ccccc12,1.7,0.230448921,-0.301029996,25,No,2.025305865,2.025305865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sandy Loam Kidman soil,Agricultural soil,Soil,"Calciaquoll; Utah, USA",,,Air-dried and sieved to pass a 2-mm screen.,Closed microcosm in 500mL glass flask sealed with polyethylene film. Incubated in dark,0.25,0.5,,15,,No,,Yes,Aerated continously 200mL/min,196,Abiotic control,2% HgCl2,Single constituent,Single constituent,Solid,Solvent dissolved (methyl chloride) and mixed with soil and allowed to evaporate for 24 hours,106,106,0,First order rate constant,0.92,,0.407647059,1.7,Parks 1990,,Final hydrocarbon concentration are estimates based on degradation rate and incubation time,H,N ,H,H,H,H,N ,M,H,N/A,N/A,H,M,M,H,3.0,2.5,0,2.8,8.889,0.9489,Cc1cccc2ccccc12
8,2-Methylanthracene,PAH,15,613-12-7,Cc1ccc2cc3ccccc3cc2c1,35.80769231,1.553976333,0.380211242,21,No,3.242690474,1.773786445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,AhAl soil+compost,,Soil,Germany,,,Air dried and sieved through 2mm mesh. ,"Closed microcosm in 1L glass jar, sealed with polyethylene film and incubated in dark",0.3,2.4,,50% WHC,,No,,Yes,Polyethylene permits diffusions of atmospheric gases such as oxygen,100,Abiotic control,Autoclave + 1% HgCl2,Synthetic mixture,Mixture of 18 PAH and N-PAHs,Solid,Solvent dissolved (dichloromethane) and mixed with soil.,1748.6,59.4,1.523076923,Lag + First order rate constant,0.9876,21,0.0468,14.80769231,Wischmann 1997,,,L,N ,L,H,H,H,N ,H,H,N/A,N/A,H,M,M,H,2.2,2.7,0,2.4,196.7,2.2937,Cc1ccc2cc3ccccc3cc2c1
9,2-Methylnaphthalene,DAH,11,91-57-6,Cc1ccc2ccccc2c1,84,1.924279286,0.618048097,20,No,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Meota loamy sand soil,Rural soil,Soil,"Maidstone, Canada","53°05'43.9""N 109°18'13.7""W",,,Closed microcosm in 4L glass flask,0.15,4.15,,60% WHC,,No,,Yes,Adequate oxygen in microcosm headspace,119,None described,,Single constituent,,Solid,Solvent dissolved (methanol) and applied to soil,10,10,,First order rate constant,0.89,,0.00825,84,Hosler 1992,,,H,N ,H,H,H,H,N ,H,H,L,N/A,N/A,H,H,H,3.0,2.7,0,2.8,8.889,0.9489,Cc1ccc2ccccc2c1
10,2-Methylnaphthalene,DAH,11,91-57-6,Cc1ccc2ccccc2c1,35,1.544068044,0.618048097,20,No,1.812913357,1.812913357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Meota loamy sand soil,Rural soil,Soil,"Maidstone, Canada","53°05'43.9""N 109°18'13.7""W",,,Closed microcosm in 4L glass flask,0.15,4.15,,60% WHC,,No,,Yes,Adequate oxygen in microcosm headspace,119,None described,,Single constituent,,Solid,Solvent dissolved (methanol) and applied to soil,65,65,,First order rate constant,0.9,,0.0198,35,Hosler 1992,,,H,N ,H,H,H,H,N ,H,H,L,N/A,N/A,H,H,H,3.0,2.7,0,2.8,8.889,0.9489,Cc1ccc2ccccc2c1
