SID,Source,SourceNo,ChemID,Chemical,Smiles,HL_obs,HL_bhcw,log_HL_obs,log_HL_bhcw,Media,Substrate,Viscosity,C_disp,Concentration,Temperature,TempDiff,Pressure,FW,SW,AS,Class,ClassNo,Cn,E,S,A,B,V,L,E_qc,S_qc,A_qc,B_qc,V_qc,HLEG,chain:alkaneBranch_isopropyl_C3,chain:alkaneBranch_t-butyl_C4,chain:alkaneBranch_neopentyl_C5,chain:alkaneBranch_isohexyl_pentyl_3-methyl,chain:alkaneBranch_isooctyl_heptyl_3-methyl,chain:alkaneBranch_isooctyl_hexyl_2-ethyl,chain:alkaneBranch_isooctyl_hexyl_2-methyl,chain:alkaneBranch_isononyl_heptyl_2_5-methyl,chain:alkaneBranch_isononyl_pentyl_1_1_1_3-metyl,chain:alkaneBranch_isodecyl_octyl_1_2-methyl,chain:alkaneCyclic_pentyl_C5,chain:alkaneCyclic_hexyl_C6,chain:alkaneLinear_ethyl_C2_(connect_noZ_CN=4),chain:alkaneLinear_propyl_C3,chain:alkaneLinear_butyl_C4,chain:alkaneLinear_hexyl_C6,chain:alkaneLinear_octyl_C8,chain:alkaneLinear_decyl_C10,chain:alkaneLinear_dodedyl_C12,chain:alkaneLinear_tetradecyl_C14,chain:alkaneLinear_hexadecyl_C16,chain:alkaneLinear_stearyl_C18,chain:aromaticAlkane_Ar-C_meta,chain:aromaticAlkane_Ar-C_ortho,chain:aromaticAlkane_Ph-C1_acyclic_generic,chain:aromaticAlkane_Ph-1_4-C1_acyclic,chain:aromaticAlkane_Ph-C2,chain:aromaticAlkane_Ph-C4,chain:aromaticAlkane_Ph-C6,chain:aromaticAlkane_Ph-C8,chain:aromaticAlkane_Ph-C9_nonylphenyl,chain:aromaticAlkane_Ph-C10,chain:aromaticAlkane_Ph-C1_cyclic,ring:aromatic_benzene,ring:aromatic_biphenyl,ring:fused_[5_6]_indane,ring:fused_[6_6]_naphthalene,ring:fused_[6_6]_tetralin,ring:fused_PAH_acenaphthylene,ring:fused_PAH_anthracene,ring:fused_PAH_benz(a)anthracene,ring:fused_PAH_benzophenanthrene,ring:fused_PAH_fluorene,ring:fused_PAH_phenanthrene,ring:fused_PAH_pyrene
P,Prince et al. 2007,1,1,n-butane,C(CC)C,15,3.461,1.176091259,0.539201599,freshwater,Gasoline,0.814111,0,75,21,1,0.1,1,0,0,nP,1,4,0,0,0,0,0.6722,1.763,0.486226179,0.60475634,0.000112577,1.424261695,0.85231,0.38119,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,Prince et al. 2007,1,2,n-pentane,C(CCC)C,10.7,4.033,1.029383778,0.605628222,freshwater,Gasoline,0.814111,0,75,21,1,0.1,1,0,0,nP,1,5,0,0,0,0,0.8131,2.235,0.531498308,0.677924932,9.99E-05,1.62082025,0.94519,0.37268,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,Prince et al. 2007,1,3,n-hexane,C(CCCC)C,6.5,4.699,0.812913357,0.672005445,freshwater,Gasoline,0.814111,0,75,21,1,0.1,1,0,0,nP,1,6,0,0,0,0,0.954,2.737,0.588728073,0.745306168,8.74E-05,1.797961095,1.01471,0.36533,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,Prince et al. 2007,1,4,n-heptane,C(CCCCC)C,4.5,5.476,0.653212514,0.738463439,freshwater,Gasoline,0.814111,0,75,21,1,0.1,1,0,0,nP,1,7,0,0,0,0,1.0949,3.24,0.636615935,0.818169721,6.90E-05,2.003832249,1.12674,0.35967,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,Prince et al. 2007,1,5,n-octane,C(CCCCCC)C,3.6,6.38,0.556302501,0.804820679,freshwater,Gasoline,0.814111,0,75,21,1,0.1,1,0,0,nP,1,8,0,0,0,0,1.2358,3.742,0.681888063,0.960932392,1.59E-05,2.412091287,1.45764,0.35531,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,Prince et al. 2007,1,6,n-nonane,C(CCCCCCC)C,3.2,7.435,0.505149978,0.871280973,freshwater,Gasoline,0.814111,0,75,21,1,0.1,1,0,0,nP,1,9,0,0,0,0,1.3767,4.244,0.74771238,0.928795411,5.53E-05,2.291857213,1.2066,0.35173,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,Prince et al. 2007,1,7,n-decane,C(CCCCCCCC)C,3.2,8.663,0.505149978,0.937668314,freshwater,Gasoline,0.814111,0,75,21,1,0.1,1,0,0,nP,1,10,0,0,0,0,1.5176,4.746,0.797468622,1.008222969,3.96E-05,2.501385718,1.30458,0.34894,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,Prince et al. 2007,1,8,n-undecane,C(CCCCCCCCC)C,2.8,10.09,0.447158031,1.003891166,freshwater,Gasoline,0.814111,0,75,21,1,0.1,1,0,0,nP,1,11,0,0,0,0,1.6585,5.249,0.905518342,1.012829969,5.84E-05,2.471761733,1.15773,0.34661,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,Prince et al. 2007,1,9,n-dodecane,C(CCCCCCCCCC)C,2.8,11.76,0.447158031,1.070407322,freshwater,Gasoline,0.814111,0,75,21,1,0.1,1,0,0,nP,1,12,0,0,0,0,1.7994,5.751,0.916412266,1.319923098,-8.01E-05,3.38797769,2.06701,0.34467,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,Prince et al. 2007,1,10,2-methylbutane,C(C)(C)CC,13,3.602,1.113943352,0.556543708,freshwater,Gasoline,0.814111,0,75,21,1,0.1,1,0,0,iP,2,5,0,0,0,0,0.8131,2.082,0.525145813,0.632861743,0.000136716,1.507879073,0.85906,0.37081,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,Prince et al. 2007,1,11,"2,2-dimethylbutane",C(CC)(C)(C)C,26.5,6.969,1.423245874,0.843170465,freshwater,Gasoline,0.814111,0,75,21,1,0.1,1,0,0,iP,2,6,0,0,0,0,0.954,2.581,0.559207658,0.66249456,0.000157582,1.627202329,0.92583,0.3626,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,Prince et al. 2007,1,12,2-methylpentane,C(CCC)(C)C,10.4,4.197,1.017033339,0.622938969,freshwater,Gasoline,0.814111,0,75,21,1,0.1,1,0,0,iP,2,6,0,0,0,0,0.954,2.554,0.575275732,0.748787208,0.000100216,1.83297613,1.10631,0.36481,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,Prince et al. 2007,1,13,3-methylpentane,C(CC)(CC)C,10.1,4.197,1.004321374,0.622938969,freshwater,Gasoline,0.814111,0,75,21,1,0.1,1,0,0,iP,2,6,0,0,0,0,0.954,2.563,0.550613107,0.707825746,0.000112921,1.715062127,0.99517,0.36272,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,Prince et al. 2007,1,14,"2,2,3-trimethylbutane",C(C(C)C)(C)(C)C,13,9.351,1.113943352,0.970858057,freshwater,Gasoline,0.814111,0,75,21,1,0.1,1,0,0,iP,2,7,0,0,0,0,1.0949,3.029,0.576827753,0.668464319,0.000181924,1.673200891,0.91264,0.35561,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,Prince et al. 2007,1,15,"2,2-dimethylpentane",C(CCC)(C)(C)C,13,8.12,1.113943352,0.909556029,freshwater,Gasoline,0.814111,0,75,21,1,0.1,1,0,0,iP,2,7,0,0,0,0,1.0949,2.825,0.608216548,0.763254334,0.000128628,1.909492047,1.12136,0.3578,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,Prince et al. 2007,1,16,"2,3-dimethylpentane",C(C(CC)C)(C)C,8.1,5.631,0.908485019,0.750585527,freshwater,Gasoline,0.814111,0,75,21,1,0.1,1,0,0,iP,2,7,0,0,0,0,1.0949,2.827,0.587290684,0.781013176,0.000112659,1.939743227,1.16861,0.35726,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,Prince et al. 2007,1,17,"2,4-dimethylpentane",C(CC(C)C)(C)C,9.1,5.631,0.959041392,0.750585527,freshwater,Gasoline,0.814111,0,75,21,1,0.1,1,0,0,iP,2,7,0,0,0,0,1.0949,2.873,0.611205957,0.802954687,0.000104753,1.990099487,1.2047,0.35716,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,Prince et al. 2007,1,18,2-methylhexane,C(CCCC)(C)C,6.6,4.89,0.819543936,0.689308859,freshwater,Gasoline,0.814111,0,75,21,1,0.1,1,0,0,iP,2,7,0,0,0,0,1.0949,3.027,0.618305804,0.771795623,0.000109781,1.884182467,1.03287,0.35948,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,Prince et al. 2007,1,19,"3,3-dimethylpentane",C(CC)(CC)(C)C,13,8.12,1.113943352,0.909556029,freshwater,Gasoline,0.814111,0,75,21,1,0.1,1,0,0,iP,2,7,0,0,0,0,1.0949,3.133,0.575333048,0.76725559,0.000111454,1.927848662,1.1849,0.35348,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,Prince et al. 2007,1,20,3-methylhexane,C(CCC)(CC)C,7.5,4.89,0.875061263,0.689308859,freshwater,Gasoline,0.814111,0,75,21,1,0.1,1,0,0,iP,2,7,0,0,0,0,1.0949,3.036,0.600369349,0.757024813,0.000116068,1.834939742,1.00086,0.36095,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,Prince et al. 2007,1,21,"2,2,3-trimethylpentane",CC(C)(C)C(C)CC,13,10.9,1.113943352,1.037426498,freshwater,Gasoline,0.814111,0,75,21,1,0.1,1,0,0,iP,2,8,0,0,0,0,1.2358,3.331,0.60378975,0.81580089,0.000127185,2.110906798,1.30885,0.35158,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,Prince et al. 2007,1,22,"2,2,4-trimethylpentane",C(CC(C)C)(C)(C)C,8.4,10.9,0.924279286,1.037426498,freshwater,Gasoline,0.814111,0,75,21,1,0.1,1,0,0,iP,2,8,0,0,0,0,1.2358,3.145,0.638167955,0.813841676,0.00013496,2.070788051,1.22852,0.35251,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,Prince et al. 2007,1,23,"2,3,3-trimethylpentane",C(C(C)C)(CC)(C)C,13,10.9,1.113943352,1.037426498,freshwater,Gasoline,0.814111,0,75,21,1,0.1,1,0,0,iP,2,8,0,0,0,0,1.2358,3.502,0.590337409,0.816455952,0.000116617,2.109588953,1.32582,0.34868,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,Prince et al. 2007,1,24,"2,3,4-trimethylpentane",C(C(C(C)C)C)(C)C,10.6,7.556,1.025305865,0.878291949,freshwater,Gasoline,0.814111,0,75,21,1,0.1,1,0,0,iP,2,8,0,0,0,0,1.2358,3.382,0.606031807,0.732594482,0.000171004,1.858397604,1.02658,0.34944,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,Prince et al. 2007,1,25,"2,3-dimethylhexane",CC(C)C(C)CCC,7.5,6.562,0.875061263,0.817036226,freshwater,Gasoline,0.814111,0,75,21,1,0.1,1,0,0,iP,2,8,0,0,0,0,1.2358,3.299,0.625836643,0.878762124,8.57E-05,2.234709863,1.39347,0.35437,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,Prince et al. 2007,1,26,"2,4-dimethylhexane",CC(C)CC(C)CC,6.6,6.562,0.819543936,0.817036226,freshwater,Gasoline,0.814111,0,75,21,1,0.1,1,0,0,iP,2,8,0,0,0,0,1.2358,3.355,0.635178546,0.892942779,7.99E-05,2.262874727,1.40803,0.35366,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
